room_id,created_by,status,player_count,created_at
4a8029df,19648816-22de-4e3b-b12a-dc26ba7f08c8,playing,4,2025-12-10T21:41:34.310221
83ae3f60,fca878f6-467c-4f3a-888f-601ea2fa6f95,playing,4,2025-12-10T21:53:39.288134
b63dce5d,0d42cb30-b654-4b8a-82e7-7e79a467d3e3,playing,4,2025-12-10T21:55:11.764178
caa2c0d2,61dd1145-4d94-43bc-8062-195793af66a4,finished,4,2025-12-10T21:56:58.097065
bd2237b2,e0e93011-abb9-4d08-963a-7a666a1f03a6,finished,4,2025-12-10T21:58:32.531432
e7cf3309,a06cbbb9-df88-4bd0-863c-1e99581174ee,finished,4,2025-12-10T21:59:43.243603
eae29332,8dcaa1eb-a398-4db0-9422-0a206577f8a2,finished,4,2025-12-10T22:08:27.706838
14a63545,316c03c0-c2cb-4da9-98d9-63f37a7a7dd3,finished,4,2025-12-12T20:53:57.668554
c39efe0f,4f5083fc-344e-44f8-9170-d6ca3c91b7fa,waiting,1,2025-12-12T21:40:34.206016
d3194f8b,,waiting,1,2025-12-12T23:33:25.890513
